Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,5000,28.83604407310486,,,,0.0
0/20,1/20,100,10000,132.1952030658722,7.200127586722374,0.21302019665017724,4.137502260506153,0.0
0/20,2/20,150,15000,176.70445895195007,621.7510682344437,7.638282877393067,21.97469254769385,0.0
0/20,3/20,200,20000,196.49653887748718,1082.5019046664238,23.909825733862817,16.499067151919007,0.0
0/20,4/20,250,25000,189.42182803153992,1442.115656375885,47.312150651589036,24.436343303881586,0.0
0/20,5/20,300,30000,178.65674090385437,1711.9991241693497,66.31306556984782,36.332741347141564,0.0
0/20,6/20,350,35000,185.86310005187988,2093.18425655365,83.7102873697877,53.18264698423445,0.0
0/20,7/20,400,40000,191.01800417900085,2056.4978917837143,96.61985773965716,64.95977006293833,0.0
0/20,8/20,450,45000,177.49881887435913,2013.5891658067703,96.3694414421916,81.93587797507644,0.0
0/20,9/20,500,50000,190.55525088310242,2018.2460412979126,94.90853528305888,87.49827598780394,0.0
0/20,10/20,550,55000,194.58752703666687,2022.0560791492462,94.35338174551725,113.4253671914339,0.0
0/20,11/20,600,60000,186.6493101119995,2025.8639872074127,99.85979870706797,126.98023945093155,0.0
0/20,12/20,650,65000,189.17639684677124,2030.3529955148697,101.67265318706632,158.6328577324748,0.0
0/20,13/20,700,70000,189.2005970478058,2036.3829118013382,94.95889115333557,168.2865567356348,0.0
0/20,14/20,750,75000,195.93745803833008,2000.6071922779083,92.79162770137191,167.28519989550114,0.0
0/20,15/20,800,80000,198.54478216171265,2000.1355562210083,97.11040306091309,189.81528633087873,0.0
0/20,16/20,850,85000,199.8792700767517,1992.8914527893066,100.74896693974733,223.62713560461998,0.0
0/20,17/20,900,90000,181.70930194854736,1928.9702647924423,102.0594540387392,225.71130914986134,0.0
0/20,18/20,950,95000,181.43929815292358,1932.614956021309,100.83206480741501,231.03983454406261,0.0
0/20,19/20,1000,100000,184.13675212860107,1939.5501277446747,98.37764992937446,244.07612319290638,0.0
1/20,0/20,1050,105000,192.5142478942871,1891.5677324533463,99.92740228027105,227.18847983330488,0.0
1/20,1/20,1100,110000,238.54168891906738,1831.3490597009659,98.68239685148001,222.58393474668264,0.0
1/20,2/20,1150,115000,227.95619297027588,1773.3952672481537,99.80699501186609,217.61994016170502,0.0
