Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,5000,19.808154821395874,,,,0.0
0/20,1/20,100,10000,20.63403582572937,6.22956145554781,0.19928570394404233,3.8622658029198647,0.0
0/20,2/20,150,15000,69.65179109573364,634.4355266988277,5.090846825274639,20.202528276015073,0.0
0/20,3/20,200,20000,62.54252481460571,1200.563112795353,19.430819112807512,18.429362845607102,0.0
0/20,4/20,250,25000,52.36250710487366,1631.4815613031387,52.56480484083295,24.347841798327863,0.0
0/20,5/20,300,30000,55.777944803237915,1896.7834910154343,60.90638663992286,33.8494830224663,0.0
0/20,6/20,350,35000,47.006574869155884,2197.0267251729965,66.47186268866062,57.94587357901037,0.0
0/20,7/20,400,40000,47.5887610912323,2577.102126121521,87.97069835290313,91.78665182366967,0.0
0/20,8/20,450,45000,49.42428231239319,2687.490291595459,98.1942775323987,123.21227730065584,0.0
0/20,9/20,500,50000,47.609158992767334,2847.284500479698,102.26245146989822,137.06943129003048,0.0
0/20,10/20,550,55000,54.93977904319763,2989.396895647049,106.33037433028221,163.05875679850578,0.0
0/20,11/20,600,60000,50.164971113204956,3076.884937286377,109.45013116300106,177.36911557614803,0.0
0/20,12/20,650,65000,48.49223709106445,3161.2930722236633,113.06585289537907,212.84305281192064,0.0
0/20,13/20,700,70000,49.19069004058838,3408.0954535007477,116.66392882168293,268.02191695570946,0.0
0/20,14/20,750,75000,51.17167901992798,3513.879552125931,119.9179159924388,284.80617013573647,0.0
0/20,15/20,800,80000,52.165152072906494,3553.6654708385468,120.55621978640556,301.30503056943417,0.0
0/20,16/20,850,85000,61.51190114021301,3569.4804272651672,122.57693386077881,327.67081969976425,0.0
0/20,17/20,900,90000,52.42067289352417,3496.10227227211,130.72027015686035,322.74235168099403,0.0
0/20,18/20,950,95000,52.64104390144348,3512.4262540340424,130.03924176841974,354.86814400553703,0.0
0/20,19/20,1000,100000,52.22842502593994,3545.962072610855,131.26497261971235,366.61318185925484,0.0
1/20,0/20,1050,105000,48.45138502120972,3561.4309289455414,133.58916495740414,378.0645681023598,0.0
1/20,1/20,1100,110000,47.8654248714447,3604.3814997673035,132.2562235072255,393.727343454957,0.0
1/20,2/20,1150,115000,51.17345309257507,3663.6219840049744,134.54894779622555,420.3509542495012,0.0
1/20,3/20,1200,120000,51.39156103134155,3676.5169954299927,132.74612624198198,428.8683752566576,0.0
1/20,4/20,1250,125000,58.089442014694214,3667.162363767624,130.44564542919397,454.4323820769787,0.0
1/20,5/20,1300,130000,55.649887800216675,3649.2058379650116,128.51395045220852,421.5653871893883,0.0
1/20,6/20,1350,135000,51.79046130180359,3636.4448425769806,128.24707977473736,419.4887780845165,0.0
1/20,7/20,1400,140000,55.32138919830322,3592.4824743270874,128.6746844649315,440.2395988404751,0.0
1/20,8/20,1450,145000,71.68418383598328,3668.7997493743896,128.54667165875435,475.87603932619095,0.0
1/20,9/20,1500,150000,56.04412484169006,3661.6460123062134,128.164586186409,445.84252575039864,0.0
1/20,10/20,1550,155000,61.50957489013672,3698.1422810554504,130.97721534967422,443.2981906980276,0.0
1/20,11/20,1600,160000,59.88326692581177,3724.583035469055,130.97256871312857,448.9189822524786,0.0
1/20,12/20,1650,165000,57.50786781311035,3703.1259558200836,131.84802857786417,451.2144249379635,0.0
1/20,13/20,1700,170000,66.8492329120636,3674.6331508159637,131.4018134176731,456.2757760286331,0.0
1/20,14/20,1750,175000,93.5519609451294,3690.3067078590393,130.99429655075073,468.870624512434,0.0
1/20,15/20,1800,180000,75.83701300621033,3746.941369533539,129.468161188066,483.3233966678381,0.0
1/20,16/20,1850,185000,56.613282203674316,3713.1870675086975,131.10003205388784,460.6698753684759,0.0
1/20,17/20,1900,190000,71.2336151599884,3728.7342829704285,133.09070024639368,451.6936692148447,0.0
1/20,18/20,1950,195000,48.380290031433105,3751.0626726150513,134.18467462062836,475.4453866779804,0.0
1/20,19/20,2000,200000,59.19128704071045,3797.3429493904114,134.9734800606966,506.10082948207855,0.0
2/20,0/20,2050,205000,74.71973299980164,3830.7271206378937,131.37836811691523,485.6155091524124,0.0
2/20,1/20,2100,210000,65.92144799232483,3829.45943403244,129.46639539301395,505.34041678905487,0.0
2/20,2/20,2150,215000,87.37494611740112,3815.073266506195,128.8331019282341,491.0153186619282,0.0
2/20,3/20,2200,220000,56.34093117713928,3781.175239086151,132.8851102590561,497.68055605888367,0.0
2/20,4/20,2250,225000,86.35143113136292,3757.4929122924805,132.82146076112986,496.6589870303869,0.0
2/20,5/20,2300,230000,113.46442413330078,3721.068914413452,133.96790402382612,493.7288748919964,0.0
2/20,6/20,2350,235000,65.1534731388092,3716.807425737381,130.8791594579816,491.41081680357456,0.0
2/20,7/20,2400,240000,96.19506883621216,3694.5670907497406,132.26761208474636,488.55400800704956,0.0
2/20,8/20,2450,245000,65.09134888648987,3677.7409856319427,131.40695390850306,462.9245891869068,0.0
2/20,9/20,2500,250000,53.23544192314148,3715.923069000244,127.9541994035244,483.0850756764412,0.0
2/20,10/20,2550,255000,98.9275062084198,3697.818360567093,126.80360233038664,473.53417471051216,0.0
2/20,11/20,2600,260000,131.4976451396942,3706.919863462448,126.40178526192904,477.3469939380884,0.0
2/20,12/20,2650,265000,70.42639493942261,3723.5085155963898,129.15916034579277,471.18294109404087,0.0
2/20,13/20,2700,270000,61.18076801300049,3713.8525178432465,123.82706205546856,473.80607767403126,0.0
2/20,14/20,2750,275000,73.75332713127136,3742.114300251007,123.36567240953445,480.5599649399519,0.0
2/20,15/20,2800,280000,106.94508004188538,3742.4917669296265,123.42422971874475,488.10872119665146,0.0
2/20,16/20,2850,285000,71.71029305458069,3778.7527482509613,123.08651261031628,462.4804477393627,0.0
2/20,17/20,2900,290000,62.149659156799316,3749.5385551452637,127.93630485236645,470.2961320579052,0.0
2/20,18/20,2950,295000,74.63607907295227,3714.475044488907,126.16936198621988,461.4264777004719,0.0
2/20,19/20,3000,300000,58.62039494514465,3696.3130326271057,126.9462967813015,457.72088181972504,0.0
3/20,0/20,3050,305000,69.42973589897156,3683.918044090271,122.50569205731153,474.2024778276682,0.0
3/20,1/20,3100,310000,69.70459914207458,3710.2310860157013,120.94337874650955,463.4050182700157,0.0
3/20,2/20,3150,315000,81.59643530845642,3709.9572064876556,122.50335606187582,453.83145643770695,0.0
3/20,3/20,3200,320000,57.55207014083862,3666.21671128273,122.48599214106798,471.4463436305523,0.0
3/20,4/20,3250,325000,58.927732944488525,3678.8773231506348,123.34204772114754,470.5589556545019,0.0
3/20,5/20,3300,330000,62.95464301109314,3651.5054292678833,123.12431622296572,460.6494774967432,0.0
3/20,6/20,3350,335000,73.81524896621704,3652.651373386383,124.34147579222918,468.6547256037593,0.0
3/20,7/20,3400,340000,84.5798110961914,3621.5837478637695,123.08779614418745,438.892992451787,0.0
3/20,8/20,3450,345000,90.93070697784424,3609.066063642502,123.09225502610207,457.4712623655796,0.0
3/20,9/20,3500,350000,74.29207563400269,3573.39576792717,121.80082642287016,456.52627946436405,0.0
3/20,10/20,3550,355000,56.163800954818726,3529.2456681728363,121.54731658101082,428.56279173493385,0.0
3/20,11/20,3600,360000,57.20847010612488,3532.835382938385,119.7706316113472,450.99419647455215,0.0
3/20,12/20,3650,365000,65.78739619255066,3507.8982174396515,119.32827642560005,431.831596031785,0.0
3/20,13/20,3700,370000,69.7606098651886,3508.132655620575,118.82651252299547,422.8295390829444,0.0
3/20,14/20,3750,375000,95.62690424919128,3542.8231954574585,120.90735035389662,428.8864533752203,0.0
3/20,15/20,3800,380000,117.06600880622864,3547.642139196396,119.32394762337208,422.7827292531729,0.0
3/20,16/20,3850,385000,61.1426682472229,3516.7584059238434,124.00952553004026,426.6575609743595,0.0
3/20,17/20,3900,390000,72.74638295173645,3517.2149209976196,122.17679836601019,419.2168603539467,0.0
3/20,18/20,3950,395000,62.01388502120972,3476.781252384186,121.03465248644352,432.2854034304619,0.0
3/20,19/20,4000,400000,82.51921892166138,3524.0324194431305,117.54827523231506,419.00568448007107,0.0
4/20,0/20,4050,405000,75.9636960029602,3520.7488944530487,118.85262456536293,432.66320288181305,0.0
4/20,1/20,4100,410000,90.15892577171326,3515.25297999382,118.95575419813395,430.11864317953587,0.0
4/20,2/20,4150,415000,73.38464689254761,3446.6197481155396,117.38032079488039,434.78117793798447,0.0
4/20,3/20,4200,420000,87.58215689659119,3450.6892569065094,114.47041038423777,433.87615674734116,0.0
4/20,4/20,4250,425000,82.9834041595459,3448.3413133621216,115.93276320397854,421.43121556937695,0.0
4/20,5/20,4300,430000,57.410085678100586,3428.9109852313995,119.39891755580902,444.18376947939396,0.0
4/20,6/20,4350,435000,58.838935136795044,3422.888386964798,116.4968167617917,430.57386738061905,0.0
4/20,7/20,4400,440000,66.61953377723694,3396.754932641983,118.3082624450326,426.02270007133484,0.0
4/20,8/20,4450,445000,55.00313758850098,3367.2319860458374,116.84388346970081,424.583465218544,0.0
4/20,9/20,4500,450000,87.7045087814331,3355.854537963867,112.8502246439457,407.3531238883734,0.0
4/20,10/20,4550,455000,79.73776817321777,3331.916987657547,115.16351123154163,407.57736687362194,0.0
4/20,11/20,4600,460000,77.80359983444214,3318.4948568344116,114.12523167580366,410.4590102136135,0.0
4/20,12/20,4650,465000,94.9991819858551,3284.108635663986,116.58735506236553,419.9812123179436,0.0
4/20,13/20,4700,470000,75.36893892288208,3265.8906738758087,115.77036023885012,397.2954402118921,0.0
4/20,14/20,4750,475000,53.567442893981934,3245.823706626892,116.06498350203037,406.230505079031,0.0
4/20,15/20,4800,480000,91.78909993171692,3203.7570056915283,113.88428778201342,419.30973049998283,0.0
4/20,16/20,4850,485000,92.65227699279785,3229.7797672748566,115.06870652735233,396.7487270832062,0.0
4/20,17/20,4900,490000,49.16573882102966,3206.995407819748,114.20772584527731,426.56025606393814,0.0
4/20,18/20,4950,495000,73.24453926086426,3212.6777329444885,116.36344036459923,406.1831504702568,0.0
4/20,19/20,5000,500000,56.47571420669556,3231.300556898117,116.37528618425131,387.53353594988585,0.0
5/20,0/20,5050,505000,83.26921129226685,3179.9559288024902,116.41844250261784,392.6494469717145,0.0
5/20,1/20,5100,510000,60.3451611995697,3172.0871844291687,116.19210494309664,376.80047193169594,0.0
5/20,2/20,5150,515000,61.3960919380188,3174.168203353882,118.69977059215307,396.52246978878975,0.0
5/20,3/20,5200,520000,66.6893880367279,3166.9322621822357,116.45239195227623,375.3071223050356,0.0
5/20,4/20,5250,525000,52.35857009887695,3185.0037553310394,114.7958398014307,381.5764907002449,0.0
5/20,5/20,5300,530000,57.549683809280396,3165.5259724855423,116.04352957755327,386.19080713391304,0.0
5/20,6/20,5350,535000,79.59003496170044,3169.8986670970917,114.23320148140192,394.1972116455436,0.0
5/20,7/20,5400,540000,71.34998178482056,3211.1456694602966,112.241455309093,389.3738020658493,0.0
5/20,8/20,5450,545000,68.94082903862,3211.1551542282104,112.61975394189358,371.18421594798565,0.0
5/20,9/20,5500,550000,50.48249387741089,3175.068583011627,114.38124609738588,371.2029879540205,0.0
5/20,10/20,5550,555000,61.67948126792908,3156.0228526592255,116.17149341851473,342.7375602722168,0.0
5/20,11/20,5600,560000,66.9862151145935,3150.9162771701813,114.01651429384947,365.01650565862656,0.0
5/20,12/20,5650,565000,67.68728971481323,3175.119614839554,114.4398205652833,382.20553535968065,0.0
5/20,13/20,5700,570000,63.071692943573,3193.7349677085876,113.40442467480898,386.0731544792652,0.0
5/20,14/20,5750,575000,63.73527812957764,3192.1576256752014,114.91158569604158,389.09042835235596,0.0
5/20,15/20,5800,580000,60.1527578830719,3156.1199910640717,112.5994837731123,371.40323639661074,0.0
5/20,16/20,5850,585000,54.415388107299805,3150.8980660438538,112.15236227214336,366.9715711325407,0.0
5/20,17/20,5900,590000,60.57162427902222,3143.6913504600525,112.4411406442523,373.55232256650925,0.0
5/20,18/20,5950,595000,62.66889190673828,3123.4063642024994,112.87003582715988,337.26411363482475,0.0
5/20,19/20,6000,600000,63.002302169799805,3063.930325269699,113.73698751628399,355.9425818696618,0.0
6/20,0/20,6050,605000,60.247682094573975,3041.41753077507,115.20476151257753,388.6636703386903,0.0
6/20,1/20,6100,610000,62.44071292877197,3052.8210101127625,111.76120153814554,392.06468023359776,0.0
6/20,2/20,6150,615000,59.915010929107666,3075.3828060626984,112.57252989709377,351.6518582776189,0.0
6/20,3/20,6200,620000,60.966874837875366,3062.804703474045,112.79352556914091,366.7836534008384,0.0
6/20,4/20,6250,625000,72.22288012504578,3023.4404253959656,112.87954308837652,377.25045221298933,0.0
6/20,5/20,6300,630000,54.081666231155396,3042.183269739151,113.68311281502247,387.9396880567074,0.0
6/20,6/20,6350,635000,57.79372310638428,3010.4349505901337,113.1847585439682,384.0196617394686,0.0
6/20,7/20,6400,640000,53.72758722305298,2983.671370983124,113.88134524971247,366.21553755551577,0.0
6/20,8/20,6450,645000,56.055580139160156,2990.7730498313904,114.54269766807556,368.62639309465885,0.0
6/20,9/20,6500,650000,64.38378405570984,2945.910586118698,114.92032039910555,370.5529761761427,0.0
6/20,10/20,6550,655000,53.830583810806274,2945.7439728975296,115.71137066930532,366.734620295465,0.0
6/20,11/20,6600,660000,62.051602840423584,2924.486745595932,113.6045465618372,378.9867183640599,0.0
6/20,12/20,6650,665000,70.30300188064575,2922.9791634082794,113.75846771150827,339.4534522294998,0.0
6/20,13/20,6700,670000,56.28672480583191,2897.409512400627,113.29969584941864,367.271735817194,0.0
6/20,14/20,6750,675000,62.420681953430176,2904.9983263015747,114.37403000891209,359.40285907685757,0.0
6/20,15/20,6800,680000,64.99275803565979,2957.730570077896,114.59030228108168,373.0712659358978,0.0
6/20,16/20,6850,685000,58.878767013549805,3002.3274705410004,114.94173726439476,396.6577445194125,0.0
6/20,17/20,6900,690000,55.62601685523987,2964.8092715740204,113.80043373256922,374.7467539459467,0.0
6/20,18/20,6950,695000,60.49444389343262,2988.122779250145,112.56932117789984,384.20257966965437,0.0
6/20,19/20,7000,700000,56.18051099777222,2992.055390357971,114.52903717756271,377.0705340951681,0.0
7/20,0/20,7050,705000,58.67855620384216,2993.6368317604065,115.56325742602348,391.87440007925034,0.0
7/20,1/20,7100,710000,59.97590494155884,3004.9522936344147,111.91965067386627,379.2040443196893,0.0
7/20,2/20,7150,715000,64.67642402648926,3013.225644350052,114.52845341712236,365.36329129338264,0.0
7/20,3/20,7200,720000,57.8201630115509,3009.7204295396805,116.02036046236753,373.9252685755491,0.0
7/20,4/20,7250,725000,76.74328184127808,3006.174067258835,114.41638464480639,377.31567288190126,0.0
7/20,5/20,7300,730000,67.94534921646118,3006.8240134716034,114.19280045479536,372.28304946422577,0.0
7/20,6/20,7350,735000,62.78435301780701,2987.1027534008026,115.39205763489008,369.1058050394058,0.0
7/20,7/20,7400,740000,66.82032799720764,2983.6158801317215,114.92753607779741,389.572241820395,0.0
7/20,8/20,7450,745000,67.5988438129425,2996.527643918991,116.92931979894638,371.66542222350836,0.0
7/20,9/20,7500,750000,65.93087601661682,3004.395054578781,115.69053063541651,393.7896010875702,0.0
7/20,10/20,7550,755000,67.87619805335999,3009.7124507427216,115.74545349180698,393.8946270644665,0.0
7/20,11/20,7600,760000,72.39362287521362,2991.8579553365707,115.21269387751818,376.6663367450237,0.0
7/20,12/20,7650,765000,75.50828909873962,2992.067857503891,115.44098649919033,379.5984475314617,0.0
7/20,13/20,7700,770000,64.26930403709412,2974.0328150987625,118.68664866685867,385.10091572999954,0.0
7/20,14/20,7750,775000,64.8885350227356,2967.4154663085938,117.56090583652258,420.0364580899477,0.0
7/20,15/20,7800,780000,67.50471997261047,3001.788085460663,115.91173609346151,375.08670122921467,0.0
