Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,4/20,250,25000,49.515563011169434,1020.0979570150375,40.8572242166847,15.407551583833992,0.0
0/20,5/20,300,30000,50.70555067062378,1238.5456764698029,50.645178059116006,20.47051362460479,0.0
0/20,6/20,350,35000,50.86015796661377,1415.9240042567253,47.79623589664698,22.249345235992223,0.0
0/20,7/20,400,40000,52.90291500091553,1648.2540343999863,48.14864634722471,33.4345598933287,0.0
0/20,8/20,450,45000,51.031501054763794,1807.2281239032745,55.75143341720104,39.38662366848439,0.0
0/20,9/20,500,50000,51.54613924026489,2167.170867204666,67.24099081754684,61.36601744405925,0.0
0/20,10/20,550,55000,51.59224581718445,2467.52427649498,74.10962548479438,64.94391835853457,0.0
0/20,11/20,600,60000,53.84540891647339,2517.4173847436905,80.67447375878692,90.65319784358144,0.0
0/20,12/20,650,65000,52.7290780544281,2407.539905309677,80.76949127018452,81.24480018950999,0.0
0/20,13/20,700,70000,53.900399923324585,2371.5727117061615,78.11902311816812,95.08428537100554,0.0
0/20,14/20,750,75000,54.310900926589966,2271.585867166519,80.07205520197749,104.10611726716161,0.0
0/20,15/20,800,80000,53.570664167404175,2229.733251094818,83.57242232188582,121.20688862353563,0.0
0/20,16/20,850,85000,52.18267822265625,2152.5238075256348,85.16149450466037,125.7547693811357,0.0
0/20,17/20,900,90000,53.108795166015625,1990.4897121191025,85.15793472900987,115.6094595566392,0.0
0/20,18/20,950,95000,53.03082609176636,1824.1230773925781,83.76400485262275,101.86338737979531,0.0
0/20,19/20,1000,100000,51.85233998298645,1697.5380504131317,80.22171948850155,87.13812763988972,0.0
1/20,0/20,1050,105000,56.91923785209656,1602.2335438132286,77.62758111581206,89.64212722331285,0.0
1/20,1/20,1100,110000,51.813313007354736,1529.215323626995,75.64969529211521,101.02622248418629,0.0
1/20,2/20,1150,115000,52.250612020492554,1511.3361607193947,74.21848740056157,95.88430618494749,0.0
1/20,3/20,1200,120000,53.2523090839386,1483.1236683130264,72.18835669755936,87.07243861816823,0.0
1/20,4/20,1250,125000,50.5915629863739,1430.615762591362,70.56451857462525,82.62182000465691,0.0
1/20,5/20,1300,130000,55.35059595108032,1382.1497783064842,70.0234967134893,86.62483757734299,0.0
1/20,6/20,1350,135000,53.0261549949646,1324.7742177248,68.86547505110502,77.50802299939096,0.0
1/20,7/20,1400,140000,53.86928606033325,1288.1330345869064,69.94610335677862,82.55424673296511,0.0
1/20,8/20,1450,145000,55.45849275588989,1252.7323491573334,69.84412059932947,82.68383933417499,0.0
1/20,9/20,1500,150000,55.453689098358154,1237.5907314419746,68.66993342712522,74.0004317779094,0.0
1/20,10/20,1550,155000,60.619609117507935,1232.3309512138367,67.39594843238592,101.87802380137146,0.0
1/20,11/20,1600,160000,58.178619146347046,1243.4058980941772,67.4209975861013,87.76891573704779,0.0
1/20,12/20,1650,165000,61.98470616340637,1276.5243524312973,71.11053349077702,98.14895010180771,0.0
1/20,13/20,1700,170000,54.028510093688965,1276.8971311450005,71.94166722148657,76.2257335074246,0.01
1/20,14/20,1750,175000,65.25686502456665,1252.5414627194405,70.73845054209232,92.37092134542763,0.05
1/20,15/20,1800,180000,69.13380193710327,1238.9359325170517,68.7796981036663,75.84327234886587,0.01
1/20,16/20,1850,185000,67.15734601020813,1257.593933045864,68.42994156479836,69.76982649601996,0.03
1/20,17/20,1900,190000,62.218762159347534,1264.6561850309372,68.11311616003513,76.81206080131233,0.04
1/20,18/20,1950,195000,66.21933507919312,1292.5837765336037,66.85554110631347,82.23041874170303,0.03
1/20,19/20,2000,200000,70.19472908973694,1348.3671716451645,68.62887310236692,98.95338657870889,0.08
2/20,0/20,2050,205000,59.43272686004639,1395.5592573285103,67.86989578232169,91.73042293824255,0.05
2/20,1/20,2100,210000,67.62271213531494,1438.054708480835,71.13211907446384,95.88545382767916,0.17
2/20,2/20,2150,215000,64.20259594917297,1464.763261795044,71.67771618068218,101.60462664067745,0.13
2/20,3/20,2200,220000,59.57098174095154,1631.3543429374695,74.22742822393775,116.68935739062726,0.09
2/20,4/20,2250,225000,54.02818322181702,1804.4780151844025,81.64895408600569,131.7037818953395,0.41
