Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,8.036779165267944,,,,0.0
0/20,1/20,100,5000,7.932069778442383,,,,0.01
0/20,2/20,150,7500,6.764796018600464,,,,0.0
0/20,3/20,200,10000,7.563502073287964,11.129750370979309,0.1703230800339952,5.866413131356239,0.0
0/20,4/20,250,12500,38.99704027175903,1291.8373893499374,50.24891126493458,51.72024456970394,0.15
0/20,5/20,300,15000,40.17462396621704,1896.365949511528,159.77480801939964,21.889293258078396,0.15
0/20,6/20,350,17500,39.34296011924744,2169.849708914757,183.6757733821869,19.578628487885,0.42
0/20,7/20,400,20000,35.13153100013733,2318.338920354843,189.08725510537624,18.000737033318728,0.79
0/20,8/20,450,22500,35.81847906112671,2343.4507291316986,197.08441868424416,18.47820790205151,0.95
0/20,9/20,500,25000,36.94244074821472,2251.7955309152603,201.84964647889137,18.181425511837006,0.98
0/20,10/20,550,27500,30.83422589302063,2154.4209349155426,200.42596477270126,17.387621553614736,0.99
0/20,11/20,600,30000,35.64251208305359,2055.001255750656,194.02644516527653,17.383039940148592,0.93
0/20,12/20,650,32500,37.0675950050354,1964.331972360611,189.97468787431717,16.73399557871744,0.99
0/20,13/20,700,35000,38.92934203147888,1888.3212844133377,185.53937980532646,17.365155479870737,1.0
0/20,14/20,750,37500,34.17097091674805,1844.2433500289917,181.4449838399887,18.21736286371015,0.98
0/20,15/20,800,40000,35.994572162628174,1797.21924161911,179.17663145065308,14.988243718165904,1.0
0/20,16/20,850,42500,38.17658805847168,1746.152008652687,175.44507937133312,16.700402148999274,0.99
0/20,17/20,900,45000,41.56121611595154,1709.6825771331787,170.7577191144228,16.095459478907287,1.0
0/20,18/20,950,47500,38.80315399169922,1678.5640189647675,168.24705012142658,16.613128054421395,1.0
0/20,19/20,1000,50000,35.11362624168396,1641.4784841537476,163.68306098878384,15.167276154272258,0.99
1/20,0/20,1050,52500,35.311383962631226,1612.497130870819,160.30181901156902,15.845405527856201,1.0
1/20,1/20,1100,55000,39.20743417739868,1590.3193604946136,157.67685216665268,16.022667021956295,1.0
1/20,2/20,1150,57500,50.036712884902954,1561.6306126117706,156.68855035305023,16.58183816028759,0.99
1/20,3/20,1200,60000,44.9548921585083,1543.8368674516678,155.12884479016066,16.165746395941824,1.0
1/20,4/20,1250,62500,39.07989716529846,1526.7779477834702,152.64330927282572,15.328333598561585,0.99
1/20,5/20,1300,65000,31.394628286361694,1516.4121845960617,151.51742505282164,15.55550944339484,1.0
1/20,6/20,1350,67500,36.21396780014038,1499.0423367619514,149.4169164299965,15.597095606848598,0.99
1/20,7/20,1400,70000,46.06838297843933,1486.6383256912231,147.92562700808048,15.933329429011792,1.0
1/20,8/20,1450,72500,37.55463194847107,1481.412600159645,146.67690080404282,14.986381426919252,1.0
1/20,9/20,1500,75000,35.15826678276062,1465.474007666111,145.82739439606667,15.300228004809469,1.0
